index,slack_ns,requirement_ns,datapath_delay_ns,logic_levels,startpoint_pin,endpoint_pin,path_group
11275,-0.147,5.000,4.960,5,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/lookup_addr_q_reg[23]/D","setup"
11276,-0.146,5.000,5.023,4,"student_top_inst/Core_cpu/u_core_top/u_frontend/fetch_pc_q_reg[3]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/pending_pred_next_q_reg[14]/D","setup"
11277,-0.146,5.000,4.953,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/lookup_store_data_q_reg[13]/D","setup"
11278,-0.145,5.000,5.122,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1714]/D","setup"
11279,-0.143,5.000,5.071,4,"student_top_inst/Core_cpu/u_core_top/u_frontend/fetch_pc_q_reg[3]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/pending_pred_next_q_reg[7]/D","setup"
11280,-0.143,5.000,5.123,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1109]/D","setup"
11281,-0.143,5.000,4.974,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[12]_rep__1/D","setup"
11282,-0.141,5.000,5.069,4,"student_top_inst/Core_cpu/u_core_top/u_frontend/fetch_pc_q_reg[3]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/pending_pred_next_q_reg[8]/D","setup"
11283,-0.140,5.000,5.114,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1365]/D","setup"
11284,-0.140,5.000,5.046,5,"student_top_inst/Core_cpu/u_core_top/u_frontend/fetch_pc_q_reg[2]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/pending_pred_next_q_reg[2]/D","setup"
11285,-0.140,5.000,5.058,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[38]/D","setup"
11286,-0.139,5.000,4.604,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[7][12]/CE","setup"
11287,-0.139,5.000,4.604,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[7][16]/CE","setup"
11288,-0.139,5.000,5.030,2,"student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[5]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1144]/D","setup"
11289,-0.137,5.000,5.055,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[37]/D","setup"
